Eligibility Year,Eligibility Month,Economic Region,Aid Category,Dual Eligible,Managed Care vs. Fee For Service,Plan Name,Plan Type,Gender,Age Group,Race,Number of Recipients
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,ASIAN,6
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,BLACK,148
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,HISPANIC,103
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,NATIVE AMERICAN,3
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,OTHER,49
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,WHITE,177
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,ASIAN,13
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,BLACK,248
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,HISPANIC,114
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,NATIVE AMERICAN,5
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,OTHER,50
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,WHITE,423
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,ASIAN,80
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,BLACK,34
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,HISPANIC,84
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,NATIVE AMERICAN,3
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,OTHER,18
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,WHITE,19
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,BLACK,7
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,HISPANIC,3
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,WHITE,1
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,BLACK,5
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,HISPANIC,2
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,OTHER,1
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,WHITE,7
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,ASIAN,12
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,BLACK,10
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,HISPANIC,14
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,OTHER,3
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,WHITE,11
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,BLACK,4
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,HISPANIC,3
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,WHITE,4
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,BLACK,1
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,HISPANIC,2
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,OTHER,1
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,WHITE,8
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,ASIAN,7
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,BLACK,5
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,HISPANIC,8
2013,1,Long Island,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,WHITE,3
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,ASIAN,596
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,BLACK,2573
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,HISPANIC,7555
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,NATIVE AMERICAN,34
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,OTHER,5098
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,WHITE,2224
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,ASIAN,397
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,BLACK,1598
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,HISPANIC,2893
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,NATIVE AMERICAN,23
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,OTHER,2075
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,WHITE,1688
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,ASIAN,318
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,BLACK,612
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,HISPANIC,951
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,NATIVE AMERICAN,10
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,OTHER,633
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,WHITE,744
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,ASIAN,21
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,BLACK,30
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,HISPANIC,46
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,NATIVE AMERICAN,2
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,OTHER,11
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,WHITE,8
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,ASIAN,635
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,BLACK,2451
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,HISPANIC,7579
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,NATIVE AMERICAN,33
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,OTHER,4944
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,WHITE,2223
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,ASIAN,257
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,BLACK,767
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,HISPANIC,878
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,NATIVE AMERICAN,13
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,OTHER,989
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,WHITE,1033
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,ASIAN,207
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,BLACK,449
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,HISPANIC,488
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,NATIVE AMERICAN,12
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,OTHER,435
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,WHITE,730
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,ASIAN,21
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,BLACK,12
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,HISPANIC,19
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,OTHER,1
2013,1,Long Island,TANF/SN,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,WHITE,4
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,BLACK,6
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,HISPANIC,1
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,OTHER,1
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,WHITE,6
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,BLACK,4
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,HISPANIC,3
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,OTHER,2
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,WHITE,6
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,ASIAN,3
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,BLACK,6
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,HISPANIC,13
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,NATIVE AMERICAN,1
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,WHITE,2
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,BLACK,1
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,BLACK,4
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,HISPANIC,3
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,WHITE,2
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,BLACK,3
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,HISPANIC,1
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,OTHER,1
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,WHITE,5
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,ASIAN,2
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,HISPANIC,2
2013,1,Long Island,TANF/SN,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,WHITE,1
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,ASIAN,1
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,BLACK,2
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,HISPANIC,1
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,OTHER,5
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,WHITE,1
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,ASIAN,7
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,BLACK,25
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,HISPANIC,33
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,OTHER,22
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,WHITE,7
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,ASIAN,3
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,BLACK,3
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,HISPANIC,8
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,OTHER,10
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,WHITE,2
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,BLACK,1
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,HISPANIC,2
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,OTHER,2
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,WHITE,1
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,BLACK,6
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,HISPANIC,10
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,OTHER,12
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,WHITE,2
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,ASIAN,1
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,BLACK,4
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,HISPANIC,7
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,OTHER,5
2013,1,New York City,FHPLUS,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,WHITE,3
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,ASIAN,107
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,BLACK,2343
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,HISPANIC,2983
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,NATIVE AMERICAN,3
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,OTHER,950
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,WHITE,198
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,ASIAN,116
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,BLACK,2156
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,HISPANIC,3151
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,NATIVE AMERICAN,4
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,OTHER,599
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,WHITE,334
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,ASIAN,449
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,BLACK,4935
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,HISPANIC,10995
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,NATIVE AMERICAN,10
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,OTHER,1173
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,WHITE,1134
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,ASIAN,1158
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,BLACK,1226
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,HISPANIC,3583
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,NATIVE AMERICAN,47
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,OTHER,653
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,WHITE,313
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,ASIAN,161
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,BLACK,4373
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,HISPANIC,5967
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,NATIVE AMERICAN,6
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,OTHER,1948
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,WHITE,357
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,ASIAN,146
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,BLACK,1889
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,HISPANIC,2506
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,NATIVE AMERICAN,7
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,OTHER,676
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,WHITE,371
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,ASIAN,278
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,BLACK,3296
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,HISPANIC,4893
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,NATIVE AMERICAN,12
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,OTHER,1009
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,WHITE,1024
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,ASIAN,938
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,BLACK,427
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,HISPANIC,1642
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,NATIVE AMERICAN,21
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,OTHER,351
2013,1,New York City,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,65+,WHITE,200
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,BLACK,5
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,HISPANIC,1
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,ASIAN,2
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,BLACK,42
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,HISPANIC,68
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,OTHER,7
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,WHITE,10
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,ASIAN,5
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,BLACK,53
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,HISPANIC,113
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,OTHER,8
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,WHITE,14
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,ASIAN,77
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,BLACK,156
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,HISPANIC,507
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,NATIVE AMERICAN,1
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,OTHER,56
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,WHITE,42
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,ASIAN,2
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,BLACK,4
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,HISPANIC,3
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,WHITE,2
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,ASIAN,3
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,BLACK,27
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,HISPANIC,49
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,OTHER,12
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,21-44,WHITE,8
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,ASIAN,5
2013,1,New York City,SSI,YES,MMC,HEALTHFIRST,HMO/PHSP,Male,45-64,BLACK,33
